,Time,Temperature
0,0.0,31.19
1,0.6038647342995169,31.41
2,1.2077294685990339,31.34
3,1.8115942028985508,31.26
4,2.4154589371980677,31.33
5,3.0193236714975846,31.35
6,3.6231884057971016,31.31
7,4.2270531400966185,31.42
8,4.830917874396135,31.45
9,5.434782608695652,31.47
10,6.038647342995169,31.55
11,6.642512077294686,31.55
12,7.246376811594203,31.69
13,7.85024154589372,31.73
14,8.454106280193237,31.83
15,9.057971014492754,31.94
16,9.66183574879227,32.01
17,10.265700483091788,32.2
18,10.869565217391305,32.25
19,11.473429951690822,32.47
20,12.077294685990339,32.52
21,12.681159420289855,32.7
22,13.285024154589372,32.8
23,13.88888888888889,32.98
24,14.492753623188406,33.14
25,15.096618357487923,33.3
26,15.70048309178744,33.45
27,16.304347826086957,33.58
28,16.908212560386474,33.77
29,17.51207729468599,33.91
30,18.115942028985508,34.06
31,18.719806763285025,34.24
32,19.32367149758454,34.32
33,19.92753623188406,34.63
34,20.531400966183575,34.77
35,21.135265700483092,34.88
36,21.73913043478261,34.97
37,22.342995169082126,35.23
38,22.946859903381643,35.37
39,23.55072463768116,35.55
40,24.154589371980677,35.66
41,24.758454106280194,35.73
42,25.36231884057971,35.98
43,25.966183574879228,36.09
44,26.570048309178745,36.23
45,27.17391304347826,36.27
46,27.77777777777778,36.5
47,28.381642512077295,36.75
48,28.985507246376812,36.77
49,29.58937198067633,36.95
50,30.193236714975846,37.09
51,30.797101449275363,37.18
52,31.40096618357488,37.24
53,32.0048309178744,37.49
54,32.608695652173914,37.59
55,33.21256038647343,37.7
56,33.81642512077295,37.9
57,34.42028985507247,37.97
58,35.02415458937198,38.19
59,35.628019323671495,38.3
60,36.231884057971016,38.33
61,36.835748792270536,38.45
62,37.43961352657005,38.59
63,38.04347826086956,38.76
64,38.64734299516908,38.92
65,39.251207729468604,38.98
66,39.85507246376812,39.06
67,40.45893719806763,39.22
68,41.06280193236715,39.3
69,41.66666666666667,39.37
70,42.270531400966185,39.55
71,42.8743961352657,39.69
72,43.47826086956522,39.71
73,44.08212560386474,39.88
74,44.68599033816425,39.97
75,45.289855072463766,40.05
76,45.893719806763286,40.13
77,46.49758454106281,40.25
78,47.10144927536232,40.34
79,47.70531400966183,40.5
80,48.309178743961354,40.5
81,48.913043478260875,40.71
82,49.51690821256039,40.77
83,50.1207729468599,40.87
84,50.72463768115942,40.9
85,51.32850241545894,41.03
86,51.932367149758456,41.14
87,52.53623188405797,41.21
88,53.14009661835749,41.41
89,53.74396135265701,41.47
90,54.34782608695652,41.53
91,54.95169082125604,41.66
92,55.55555555555556,41.83
93,56.15942028985508,41.8
94,56.76328502415459,41.91
95,57.367149758454104,42.03
96,57.971014492753625,42.16
97,58.574879227053145,42.18
98,59.17874396135266,42.33
99,59.78260869565217,42.42
100,60.38647342995169,42.5
101,60.99033816425121,42.57
102,61.594202898550726,42.71
103,62.19806763285024,42.69
104,62.80193236714976,42.84
105,63.40579710144928,42.98
106,64.0096618357488,43.01
107,64.61352657004831,43.15
108,65.21739130434783,43.24
109,65.82125603864735,43.3
110,66.42512077294685,43.39
111,67.02898550724638,43.48
112,67.6328502415459,43.48
113,68.23671497584542,43.62
114,68.84057971014494,43.69
115,69.44444444444444,43.78
116,70.04830917874396,43.86
117,70.65217391304348,43.89
118,71.25603864734299,44.08
119,71.85990338164251,44.12
120,72.46376811594203,44.17
121,73.06763285024155,44.27
122,73.67149758454107,44.28
123,74.27536231884058,44.46
124,74.8792270531401,44.53
125,75.48309178743962,44.64
126,76.08695652173913,44.73
127,76.69082125603865,44.77
128,77.29468599033817,44.85
129,77.89855072463769,44.85
130,78.50241545893721,44.97
131,79.10628019323671,45.13
132,79.71014492753623,45.21
133,80.31400966183575,45.17
134,80.91787439613526,45.31
135,81.52173913043478,45.28
136,82.1256038647343,45.47
137,82.72946859903382,45.54
138,83.33333333333334,45.63
139,83.93719806763285,45.74
140,84.54106280193237,45.8
141,85.14492753623189,45.88
142,85.7487922705314,45.99
143,86.35265700483092,46.06
144,86.95652173913044,46.13
145,87.56038647342996,46.2
146,88.16425120772948,46.26
147,88.76811594202898,46.4
148,89.3719806763285,46.35
149,89.97584541062803,46.46
150,90.57971014492753,46.59
151,91.18357487922705,46.66
152,91.78743961352657,46.72
153,92.3913043478261,46.76
154,92.99516908212561,46.94
155,93.59903381642512,46.98
156,94.20289855072464,46.98
157,94.80676328502416,47.12
158,95.41062801932367,47.16
159,96.01449275362319,47.24
160,96.61835748792271,47.38
161,97.22222222222223,47.47
162,97.82608695652175,47.43
163,98.42995169082126,47.61
