,Time,Temperature
0,0.0,24.8
1,0.6594885598923284,24.8
2,1.3189771197846567,24.83
3,1.978465679676985,24.85
4,2.6379542395693134,24.83
5,3.297442799461642,24.81
6,3.95693135935397,24.83
7,4.616419919246298,24.84
8,5.275908479138627,24.89
9,5.935397039030955,24.81
10,6.594885598923284,24.86
11,7.254374158815612,24.77
12,7.91386271870794,24.91
13,8.573351278600269,24.91
14,9.232839838492596,24.87
15,9.892328398384926,24.88
16,10.551816958277254,24.8
17,11.211305518169581,24.85
18,11.87079407806191,24.8
19,12.530282637954238,24.84
20,13.189771197846568,24.83
21,13.849259757738896,24.91
22,14.508748317631223,24.81
23,15.168236877523553,24.83
24,15.82772543741588,24.85
25,16.48721399730821,24.83
26,17.146702557200538,24.8
27,17.806191117092865,24.85
28,18.465679676985193,24.84
29,19.12516823687752,24.83
30,19.784656796769852,24.95
31,20.44414535666218,24.95
32,21.103633916554507,24.91
33,21.763122476446835,24.93
34,22.422611036339163,24.87
35,23.082099596231494,24.97
36,23.74158815612382,25.02
37,24.40107671601615,24.99
38,25.060565275908477,24.97
39,25.720053835800805,25.15
40,26.379542395693136,25.17
41,27.039030955585464,25.12
42,27.69851951547779,25.33
43,28.35800807537012,25.39
44,29.017496635262447,25.45
45,29.676985195154774,25.54
46,30.336473755047106,25.66
47,30.995962314939433,25.79
48,31.65545087483176,25.88
49,32.31493943472409,26.08
50,32.97442799461642,26.12
51,33.633916554508744,26.27
52,34.293405114401075,26.45
53,34.9528936742934,26.48
54,35.61238223418573,26.78
55,36.27187079407806,26.87
56,36.931359353970386,26.96
57,37.59084791386272,27.14
58,38.25033647375504,27.27
59,38.90982503364737,27.42
60,39.569313593539704,27.56
61,40.22880215343203,27.78
62,40.88829071332436,27.91
63,41.54777927321668,28.02
64,42.207267833109015,28.27
65,42.866756393001346,28.36
66,43.52624495289367,28.48
67,44.185733512786,28.6
68,44.845222072678325,28.71
69,45.50471063257066,28.95
70,46.16419919246299,29.05
71,46.82368775235531,29.28
72,47.48317631224764,29.36
73,48.14266487213997,29.52
74,48.8021534320323,29.63
75,49.46164199192463,29.77
76,50.121130551816954,29.88
77,50.780619111709285,30.04
78,51.44010767160161,30.28
79,52.09959623149394,30.33
80,52.75908479138627,30.48
81,53.418573351278596,30.59
82,54.07806191117093,30.73
83,54.73755047106325,30.88
84,55.39703903095558,30.91
85,56.05652759084791,31.12
86,56.71601615074024,31.31
87,57.37550471063257,31.3
88,58.03499327052489,31.48
89,58.694481830417224,31.55
90,59.35397039030955,31.69
91,60.01345895020188,31.95
92,60.67294751009421,31.96
93,61.332436069986535,32.11
94,61.991924629878866,32.24
95,62.65141318977119,32.31
96,63.31090174966352,32.36
97,63.97039030955585,32.48
98,64.62987886944818,32.67
99,65.2893674293405,32.67
100,65.94885598923284,32.85
101,66.60834454912516,32.99
102,67.26783310901749,33.05
103,67.92732166890983,33.19
104,68.58681022880215,33.28
105,69.24629878869447,33.46
106,69.9057873485868,33.5
107,70.56527590847914,33.59
108,71.22476446837146,33.71
109,71.88425302826379,33.73
110,72.54374158815612,33.89
111,73.20323014804845,33.98
112,73.86271870794077,34.09
113,74.52220726783311,34.14
114,75.18169582772543,34.25
115,75.84118438761776,34.42
116,76.50067294751008,34.43
117,77.16016150740242,34.54
118,77.81965006729475,34.68
119,78.47913862718707,34.76
120,79.13862718707941,34.84
121,79.79811574697173,34.97
122,80.45760430686406,35.06
123,81.1170928667564,35.08
124,81.77658142664872,35.27
125,82.43606998654104,35.35
126,83.09555854643337,35.37
127,83.7550471063257,35.51
128,84.41453566621803,35.57
129,85.07402422611035,35.65
130,85.73351278600269,35.76
131,86.39300134589502,35.82
132,87.05248990578734,35.93
133,87.71197846567966,35.98
134,88.371467025572,36.07
135,89.03095558546433,36.19
136,89.69044414535665,36.27
137,90.34993270524899,36.44
138,91.00942126514131,36.41
139,91.66890982503364,36.49
140,92.32839838492598,36.62
141,92.9878869448183,36.74
142,93.64737550471062,36.7
143,94.30686406460295,36.8
144,94.96635262449529,36.95
145,95.62584118438761,36.95
146,96.28532974427993,37.15
147,96.94481830417227,37.11
148,97.6043068640646,37.28
149,98.26379542395692,37.3
150,98.92328398384926,37.43
151,99.58277254374158,37.46
152,100.24226110363391,37.63
153,100.90174966352623,37.68
154,101.56123822341857,37.65
155,102.2207267833109,37.76
156,102.88021534320322,37.92
157,103.53970390309556,37.97
158,104.19919246298788,38.08
159,104.8586810228802,38.2
160,105.51816958277254,38.22
161,106.17765814266487,38.34
162,106.83714670255719,38.36
163,107.49663526244952,38.51
164,108.15612382234185,38.52
165,108.81561238223418,38.58
166,109.4751009421265,38.63
167,110.13458950201884,38.71
168,110.79407806191116,38.87
169,111.45356662180349,38.95
170,112.11305518169581,39.01
171,112.77254374158815,39.08
172,113.43203230148048,39.12
173,114.0915208613728,39.26
174,114.75100942126514,39.3
175,115.41049798115746,39.35
176,116.06998654104979,39.48
177,116.72947510094212,39.53
178,117.38896366083445,39.55
179,118.04845222072677,39.66
180,118.7079407806191,39.8
181,119.36742934051144,39.78
182,120.02691790040376,39.85
183,120.68640646029608,39.97
184,121.34589502018842,40.05
185,122.00538358008075,40.21
186,122.66487213997307,40.23
187,123.32436069986541,40.34
188,123.98384925975773,40.41
189,124.64333781965006,40.43
190,125.30282637954238,40.5
191,125.96231493943472,40.55
192,126.62180349932704,40.64
193,127.28129205921937,40.7
194,127.9407806191117,40.75
195,128.60026917900402,40.84
196,129.25975773889635,40.91
197,129.9192462987887,40.96
198,130.578734858681,41.05
